Project Name,Department, Project Cost , Project Benefit ,Complexity
Rhinestone,Admin & BI," 3,648,615.00 "," 8,443,980.00 ",High
A Triumph Of Softwares,eCommerce," 4,018,835.00 "," 9,012,225.00 ",High
The Blue Bird,Warehouse," 4,285,483.00 "," 9,078,339.00 ",High
Remembering Our Ancestors,Sales and Marketing," 5,285,864.00 "," 8,719,006.00 ",High
Skyhawks,eCommerce," 5,785,601.00 "," 8,630,148.00 ",High
The Coding Master,Sales and Marketing," 3,326,031.00 "," 8,504,224.00 ",Medium
"Fierce, Inc.",Warehouse," 4,557,606.00 "," 9,014,448.00 ",High
Mo-Money Masterclass,Warehouse," 3,190,009.00 "," 8,674,613.00 ",High
Town Hall Meeting,eCommerce," 3,442,649.00 "," 9,070,797.00 ",Low
Yosemite,Supply Chain," 3,475,275.00 "," 8,994,585.00 ",Low
Disruptor Training,Admin & BI," 3,508,173.00 "," 8,762,992.00 ",High
A Salute To New Workers,eCommerce," 2,534,102.00 "," 9,072,551.00 ",Medium
Robust Routine,Warehouse," 5,130,016.00 "," 9,165,877.00 ",Low
Passion Chasers,Supply Chain," 5,953,512.00 "," 8,586,905.00 ",Medium
Switch And Swift,eCommerce," 4,170,710.00 "," 8,848,636.00 ",High
The Guy With Codes,Warehouse," 3,472,986.00 "," 9,125,362.00 ",Medium
Hex Clan,eCommerce," 3,478,794.00 "," 8,846,264.00 ",Medium
Limitless Horizons,Admin & BI," 4,413,449.00 "," 8,547,257.00 ",High
The Wonders Of Geek,Admin & BI," 3,440,225.00 "," 8,761,979.00 ",High
Sputnik,Warehouse," 2,900,355.00 "," 8,979,944.00 ",High
Annual Award Show,Admin & BI," 5,505,123.00 "," 9,088,011.00 ",High
Active Achievement,Admin & BI," 2,548,471.00 "," 9,025,609.00 ",Low
Static Startup,Admin & BI," 5,869,643.00 "," 8,802,862.00 ",High
The Successful Project,Supply Chain," 5,974,815.00 "," 8,973,631.00 ",Low
Excalibur Training,Sales and Marketing," 3,814,857.00 "," 8,529,903.00 ",Low
Enter Coding,Warehouse," 2,871,386.00 "," 8,694,563.00 ",Low
